zip_code,city,county,state,latitude,longitude
501,holtsville,suffolk,ny,40.8154,-73.0456
544,holtsville,suffolk,ny,40.8154,-73.0456
601,adjuntas,adjuntas,pr,18.196747,-66.736735
602,aguada,aguada,pr,18.352927,-67.177532
603,ramey,aguadilla,pr,18.458585,-67.129867
603,aguadilla,aguadilla,pr,18.458585,-67.129867
604,aguadilla,aguadilla,pr,18.488773,-67.147741
604,ramey,aguadilla,pr,18.488773,-67.147741
605,aguadilla,aguadilla,pr,18.4289,-67.1538
606,maricao,maricao,pr,18.166734,-66.939233
610,anasco,anasco,pr,18.294649,-67.130034
611,angeles,utuado,pr,18.2856,-66.9698
612,arecibo,arecibo,pr,18.388009,-66.665279
613,arecibo,arecibo,pr,18.4744,-66.7163
614,arecibo,arecibo,pr,18.4744,-66.7163
616,bajadero,arecibo,pr,18.405484,-66.671233
617,barceloneta,barceloneta,pr,18.429792,-66.558109
622,boqueron,cabo rojo,pr,17.992876,-67.153699
623,cabo rojo,cabo rojo,pr,18.040203,-67.146574
624,penuelas,penuelas,pr,18.072797,-66.724825
627,camuy,camuy,pr,18.425195,-66.867756
631,adjuntas,lares,pr,18.224554,-66.867756
631,castaner,lares,pr,18.224554,-66.867756
636,rosario,san german,pr,18.1647,-67.0797
637,sabana grande,sabana grande,pr,18.077592,-66.939232
638,ciales,ciales,pr,18.299662,-66.498579
641,utuado,utuado,pr,18.279721,-66.689096
646,dorado,dorado,pr,18.459098,-66.272418
647,ensenada,guanica,pr,17.97252,-66.945189
650,florida,florida,pr,18.363009,-66.558109
652,garrochales,arecibo,pr,18.451909,-66.599784
653,guanica,guanica,pr,17.982516,-66.891581
656,guayanilla,guayanilla,pr,18.037324,-66.796287
659,hatillo,hatillo,pr,18.416025,-66.796287
660,hormigueros,hormigueros,pr,18.138245,-67.111993
662,isabela,isabela,pr,18.45613,-67.02263
664,jayuya,jayuya,pr,18.210309,-66.581923
667,lajas,lajas,pr,18.010034,-67.02263
669,lares,lares,pr,18.291418,-66.867756
670,las marias,las marias,pr,18.239633,-66.986887
670,las marias,anasco,pr,18.239633,-66.986887
670,las marias,camuy,pr,18.239633,-66.986887
674,manati,manati,pr,18.433168,-66.498579
676,moca,moca,pr,18.385559,-67.082204
677,rincon,rincon,pr,18.331739,-67.231158
678,quebradillas,quebradillas,pr,18.431293,-66.915406
680,mayaguez,mayaguez,pr,18.210009,-67.106035
681,mayaguez,mayaguez,pr,18.1211,-67.0824
682,mayaguez,mayaguez,pr,18.220812,-67.147741
683,san german,san german,pr,18.099194,-67.02263
685,san sebastian,san sebastian,pr,18.316188,-66.974973
687,morovis,morovis,pr,18.322194,-66.415246
688,sabana hoyos,arecibo,pr,18.349991,-66.629553
690,san antonio,aguadilla,pr,18.50189,-67.097099
692,vega alta,vega alta,pr,18.4018,-66.343828
693,vega baja,vega baja,pr,18.420721,-66.403342
694,vega baja,vega baja,pr,18.4465,-66.3884
694,vega baja,vega alta,pr,18.4465,-66.3884
698,yauco,yauco,pr,18.090875,-66.867756
703,aguas buenas,aguas buenas,pr,18.262566,-66.129629
704,aguirre,salinas,pr,17.980199,-66.218868
704,aguirre,guayama,pr,17.980199,-66.218868
705,aibonito,aibonito,pr,18.135403,-66.260518
707,maunabo,maunabo,pr,18.012675,-65.915522
714,arroyo,arroyo,pr,17.987052,-66.058249
715,ponce,ponce,pr,18.007113,-66.558109
715,mercedita,ponce,pr,18.007113,-66.558109
716,ponce,ponce,pr,17.987655,-66.6236
716,mercedita,ponce,pr,17.987655,-66.6236
717,ponce,ponce,pr,18.000417,-66.614669
718,naguabo,naguabo,pr,18.25005,-65.784727
719,naranjito,naranjito,pr,18.278197,-66.248617
720,orocovis,orocovis,pr,18.20454,-66.450958
721,palmer,rio grande,pr,18.3018,-66.08
721,rio grande,rio grande,pr,18.3018,-66.08
723,patillas,patillas,pr,18.025158,-66.010668
725,caguas,caguas,pr,18.205646,-66.034458
726,caguas,caguas,pr,18.2364,-66.0489
727,caguas,caguas,pr,18.21671,-66.055275
728,ponce,ponce,pr,18.019233,-66.65337
729,canovanas,canovanas,pr,18.341924,-65.891738
730,ponce,ponce,pr,18.032129,-66.6236
731,ponce,ponce,pr,18.095571,-66.641462
732,ponce,ponce,pr,18.0133,-66.6146
733,ponce,ponce,pr,18.0133,-66.6146
734,ponce,ponce,pr,18.0133,-66.6146
735,roosevelt roads,ceiba,pr,18.243581,-65.653972
735,roosevelt rds,ceiba,pr,18.243581,-65.653972
735,ceiba,ceiba,pr,18.243581,-65.653972
736,cayey,cayey,pr,18.078621,-66.165322
737,cayey,cayey,pr,18.1138,-66.1667
738,fajardo,fajardo,pr,18.30999,-65.653972
739,cidra,cidra,pr,18.176915,-66.153424
740,puerto real,fajardo,pr,18.338024,-65.593093
741,punta stgo,humacao,pr,18.16462,-65.766894
741,punta santiago,humacao,pr,18.16462,-65.766894
742,ceiba,ceiba,pr,18.2666,-65.6482
742,roosevelt roads,ceiba,pr,18.2666,-65.6482
742,roosevelt rds,ceiba,pr,18.2666,-65.6482
744,rio blanco,naguabo,pr,18.2202,-65.7902
745,rio grande,rio grande,pr,18.34505,-65.832284
745,rio grande,canovanas,pr,18.34505,-65.832284
745,rio grande,humacao,pr,18.34505,-65.832284
751,salinas,salinas,pr,18.002225,-66.260518
754,san lorenzo,san lorenzo,pr,18.142369,-65.974986
757,santa isabel,santa isabel,pr,17.985792,-66.391439
765,vieques,vieques,pr,18.126285,-65.440098
766,villalba,villalba,pr,18.13,-66.474329
767,yabucoa,yabucoa,pr,18.068802,-65.903106
769,coamo,coamo,pr,18.096036,-66.351012
771,las piedras,las piedras,pr,18.19644,-65.87203
772,loiza,loiza,pr,18.419378,-65.910867
773,luquillo,luquillo,pr,18.338815,-65.720102
775,culebra,culebra,pr,18.313697,-65.294233
777,juncos,juncos,pr,18.206518,-65.901732
778,gurabo,gurabo,pr,18.258919,-65.974639
780,coto laurel,ponce,pr,18.071098,-66.562869
780,ponce,ponce,pr,18.071098,-66.562869
782,comerio,comerio,pr,18.225014,-66.219798
783,corozal,corozal,pr,18.304629,-66.330493
784,guayama,guayama,pr,18.018004,-66.133308
785,guayama,guayanilla,pr,17.98,-66.1101
785,guayama,guayama,pr,17.98,-66.1101
786,la plata,aibonito,pr,18.1564,-66.2336
791,humacao,humacao,pr,18.138009,-65.818996
792,humacao,humacao,pr,18.1519,-65.8279
794,barranquitas,barranquitas,pr,18.200791,-66.307012
795,juana diaz,juana diaz,pr,18.017302,-66.493329
801,charlotte amalie,saint thomas,vi,18.3436,-64.9314
801,charlotte ama,saint thomas,vi,18.3436,-64.9314
801,st thomas,saint thomas,vi,18.3436,-64.9314
802,charlotte ama,saint thomas,vi,18.3436,-64.9322
802,charlotte amalie,saint thomas,vi,18.3436,-64.9322
802,st thomas,saint thomas,vi,18.3436,-64.9322
803,charlotte ama,saint thomas,vi,18.3436,-64.9314
803,charlotte amalie,saint thomas,vi,18.3436,-64.9314
803,st thomas,saint thomas,vi,18.3436,-64.9314
804,charlotte ama,saint thomas,vi,18.3436,-64.9314
804,charlotte amalie,saint thomas,vi,18.3436,-64.9314
804,st thomas,saint thomas,vi,18.3436,-64.9314
805,st thomas,saint thomas,vi,18.3436,-64.9314
820,christiansted,saint croix,vi,17.745384,-64.703369
820,st croix,saint croix,vi,17.745384,-64.703369
821,christiansted,saint croix,vi,17.7488,-64.7039
822,christiansted,saint croix,vi,17.7488,-64.7039
823,christiansted,saint croix,vi,17.7488,-64.7039
823,st croix,saint croix,vi,17.7488,-64.7039
824,st croix,saint croix,vi,17.7488,-64.7039
824,christiansted,saint croix,vi,17.7488,-64.7039
830,st john,saint john,vi,18.3282,-64.7407
830,cruz bay,saint john,vi,18.3282,-64.7407
831,st john,saint john,vi,18.3333,-64.7943
831,cruz bay,saint john,vi,18.3333,-64.7943
840,frederiksted,saint croix,vi,17.712409,-64.882164
841,frederiksted,saint croix,vi,17.7147,-64.8818
850,kingshill,saint croix,vi,17.723,-64.78295
851,kingshill,saint croix,vi,17.7253,-64.7836
